FEATURE_ID,PRK_COVER,PRK_SECURE,PRK_LOCKER,PRK_CPT,BOROUGH,PHOTO1_URL,PHOTO2_URL
RWG048337,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048337_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048337_2.jpg
RWG048339,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048339_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048339_2.jpg
RWG048340,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048340_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048340_2.jpg
RWG015484,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015484_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015484_2.jpg
RWG015573,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015573_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015573_2.jpg
RWG044133,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG044133_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG044133_2.jpg
RWG048047,False,False,False,12.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048047_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048047_2.jpg
RWG014960,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014960_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014960_2.jpg
RWG014923,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014923_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014923_2.jpg
RWG044136,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG044136_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG044136_2.jpg
RWG014922,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014922_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014922_2.jpg
RWG014925,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG014925_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG014925_2.jpg
RWG102426,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG102426_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG102426_2.jpg
RWG048195,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048195_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048195_2.jpg
RWG015497,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015497_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015497_2.jpg
RWG015499,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015499_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015499_2.jpg
RWG048328,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048328_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048328_2.jpg
RWG048329,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048329_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048329_2.jpg
RWG044155,False,False,False,6.0,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG044155_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG044155_2.jpg
RWG044169,False,False,False,14.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG044169_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG044169_2.jpg
RWG015554,False,False,False,16.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015554_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015554_2.jpg
RWG015555,False,False,False,6.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015555_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015555_2.jpg
RWG048180,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048180_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048180_2.jpg
RWG048184,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048184_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048184_2.jpg
RWG048185,False,False,False,6.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048185_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048185_2.jpg
RWG044124,False,False,False,6.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG044124_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG044124_2.jpg
RWG044125,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG044125_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG044125_2.jpg
RWG044126,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG044126_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG044126_2.jpg
RWG048331,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048331_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048331_2.jpg
RWG048333,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048333_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048333_2.jpg
RWG048255,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048255_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048255_2.jpg
RWG015202,False,False,False,8.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG015202_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015202_2.jpg
RWG048072,False,False,False,10.0,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG048072_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048072_2.jpg
RWG015247,False,False,False,10.0,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG015247_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015247_2.jpg
RWG015248,False,False,False,6.0,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG015248_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015248_2.jpg
RWG015287,False,False,False,2.0,Kensington & Chelsea,https://cycleassetimages.data.tfl.gov.uk/RWG015287_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG015287_2.jpg
RWG048295,True,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048295_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048295_2.jpg
RWG102460,False,False,False,10.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG102460_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG102460_2.jpg
RWG102461,False,False,False,2.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG102461_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG102461_2.jpg
RWG048199,False,False,False,4.0,Hammersmith & Fulham,https://cycleassetimages.data.tfl.gov.uk/RWG048199_1.jpg,https://cycleassetimages.data.tfl.gov.uk/RWG048199_2.jpg
